,id,time,ego_x,ego_y,heading,id1_x,id1_y,id1_theta,throttle,brake,steering,id2_x,id2_y,id2_theta
7992,138,1697026456.2025256,592600.227645874,4134168.1228027344,2.311383939423391,592587.6159057617,4134179.5948791504,2.246008845852998,9.419999999999998,6.942733352980089,0.42987519518988204,592577.0075378418,4134198.56439209,2.378851581054846
7993,138,1697026456.2785697,592599.6880950928,4134168.7139282227,2.312491910125308,592587.2618865967,4134179.9889526367,2.247082898712307,3.1399999999999997,14.531066797783595,0.5091779160835708,592576.8911132812,4134198.6756896973,2.378851581054846
7994,138,1697026456.383964,592599.1486968994,4134169.303588867,2.3134305708238214,592586.843826294,4134180.453552246,2.2483281928283816,14.129999999999999,1.45,0.5354498624007104,592576.6750946045,4134198.882080078,2.378851847370953
7995,138,1697026456.5129435,592598.075881958,4134170.4729003906,2.315373586255692,592586.4520721436,4134180.888977051,2.2494951900090143,17.115298833552522,0.0,0.549016119081976,592576.3675537109,4134199.175994873,2.378851581054846
7996,138,1697026456.593297,592597.5379943848,4134171.057434082,2.316392190131051,592586.0298461914,4134181.3582458496,2.2507532672982222,15.982131107233897,0.0,-1.0466814518750964,592575.9739227295,4134199.5521240234,2.378851314738739
7997,138,1697026456.593297,592597.5379943848,4134171.057434082,2.316392190131051,592585.6277618408,4134181.805114746,2.2519508908311536,15.699999999999998,0.0,-2.694692579930996,592575.5000305176,4134200.005065918,2.378851048422632
7998,138,1697026456.7601042,592596.4578704834,4134172.2278442383,2.313288056888334,592585.2406768799,4134182.2353515625,2.253104305890332,15.699999999999998,0.0,-2.6232827304389432,592574.9519500732,4134200.5288085938,2.378851048422632
7999,138,1697026456.8325233,592595.9172973633,4134172.815032959,2.3093175198414073,592584.8310852051,4134182.690551758,2.254324566292354,15.699999999999998,0.0,-2.1046860890026213,592574.3358154297,4134201.1175842285,2.3788502494743113
8000,138,1697026456.9932914,592595.3103485107,4134173.47857666,2.3041757663031612,592584.4402618408,4134183.124938965,2.255488900311917,15.699999999999998,0.0,-1.4506437146966495,592573.6578216553,4134201.7654418945,2.3788502494743113
8001,138,1697026456.9932914,592595.3103485107,4134173.47857666,2.3041757663031612,592584.041015625,4134183.568634033,2.2566782680455333,16.841596828127816,0.0,3.433323708978277,592572.9239959717,4134202.466796875,2.3788499831582044
8002,138,1697026457.195442,592594.9068984985,4134173.9231567383,2.3009647040425794,592583.6516723633,4134184.001373291,2.2578380746912785,16.563578663009405,0.0,3.7885777883212968,592572.1401519775,4134203.2158813477,2.3788499831582044
8003,139,1697026467.4452467,592623.9715118408,4134142.607849121,2.3679405497995125,592607.1473312378,4134153.6172790527,2.3790374696974936,37.947318588501666,0.0,-3.5683818043220352,,,
8004,139,1697026467.5390387,592623.8534088135,4134142.723449707,2.3665282038004465,592607.1114654541,4134153.6557617188,2.3790374696974936,43.120212777226016,0.0,-3.5250168010720073,,,
8005,139,1697026467.623631,592623.7117614746,4134142.862426758,2.3648551659551114,592606.9792861938,4134154.1317749023,2.3286707022876385,39.91103331439127,0.0,-3.3513860600572363,,,
8006,139,1697026467.6845236,592623.5709075928,4134143.001159668,2.3632354462308776,592606.8164367676,4134154.7182617188,2.2662363531237872,26.537931384382752,0.0,-3.2024695478493954,,,
8007,139,1697026467.84728,592623.2866897583,4134143.2822875977,2.360169089396723,592606.6565093994,4134155.294189453,2.204628649155893,17.14926204378071,0.0,-3.0759290644906736,,,
8008,139,1697026467.9389768,592623.1119537354,4134143.455810547,2.3583906093653635,592606.4958496094,4134155.872772217,2.142551429891455,19.391370191718327,0.0,-2.971642605870742,,,
8009,139,1697026468.0232317,592622.9548568726,4134143.6124572754,2.3568325635746747,592606.340171814,4134156.433380127,2.0823440160138773,34.03984971295469,0.0,-2.8909370215880723,,,
8010,139,1697026468.084501,592622.815361023,4134143.7519226074,2.3554751248461763,592606.1773071289,4134157.0199890137,2.0194081936206487,28.13205800366201,0.0,-2.7889768533064916,,,
8011,139,1697026468.165087,592622.6505737305,4134143.9172058105,2.353906084301234,592606.0186538696,4134157.5913391113,1.9582782607486138,26.79981808116911,0.0,-2.7021986659684347,,,
8012,139,1697026468.3397152,592622.332107544,4134144.237915039,2.350979010227876,592605.8548202515,4134158.181335449,1.8954457690048798,26.26405103892394,0.0,-2.608039466126835,,,
8013,139,1697026468.40709,592622.3104400635,4134144.25982666,2.3507863163628233,592605.7136611938,4134158.689758301,1.8416424585510072,31.376773656557265,0.0,-2.5361547551329044,,,
8014,139,1697026468.4983554,592622.1573486328,4134144.414642334,2.3494326961714416,592605.5797653198,4134159.1718444824,1.8430683149875904,58.36124740115376,0.0,-2.505662310201265,,,
8015,139,1697026468.58556,592621.9757156372,4134144.5989990234,2.3478535207175852,592605.3075256348,4134159.640625,1.8655709607600102,52.79202100959698,0.0,-2.4099439408465813,,,
8016,139,1697026468.6628065,592621.7820053101,4134144.7961120605,2.346191072629315,592604.9984359741,4134160.1430358887,1.8924853991600799,35.84864791537094,0.0,-2.3000037730347787,,,
8017,139,1697026468.8078058,592621.3692321777,4134145.218322754,2.342894872579384,592604.6714935303,4134160.6744384766,1.920989212086397,28.154764193528877,0.0,-2.2402633534625944,,,
8018,139,1697026468.8839858,592621.1555862427,4134145.437927246,2.3412462751717715,592604.3665618896,4134161.1701049805,1.94759738696348,28.92688176495468,0.0,-2.100324352243951,,,
8019,139,1697026468.9854672,592620.9382171631,4134145.66204834,2.3396484267328166,592604.0054779053,4134161.756958008,1.9791190940136971,58.72841653255405,0.0,-2.0618732798074846,,,
8020,139,1697026469.1247807,592620.4790115356,4134146.1377563477,2.336369439706452,592603.7300109863,4134162.204772949,2.003169568999681,57.158932629126724,0.0,-1.9891740832183058,,,
8021,139,1697026469.209315,592620.2309341431,4134146.3960266113,2.334659996854522,592603.3944396973,4134162.7502441406,2.0324595470736995,31.43205584611568,0.0,-1.8988656709399088,,,
8022,139,1697026469.2850997,592620.0729293823,4134146.560913086,2.333615092162706,592603.1080780029,4134163.215637207,2.0574368021118516,16.480065646052676,0.0,-1.8649822939248044,,,
8023,139,1697026469.3655822,592619.786277771,4134146.8609313965,2.3317567986078735,592602.7524490356,4134163.793701172,2.0884234801032164,21.827507880122244,0.0,-1.792411466292839,,,
8024,139,1697026469.5253682,592619.5625,4134147.095916748,2.330340989473216,592602.4838562012,4134164.2302246094,2.111792984803742,36.65257725386851,0.0,-1.7363393174678952,,,
8025,139,1697026469.6085966,592619.3701705933,4134147.298400879,2.3291593238023403,592602.0080871582,4134164.4131469727,2.11439436053638,52.53795701746928,0.0,-1.704772449768567,,,
8026,139,1697026469.6864967,592619.1098251343,4134147.573272705,2.3275909702728192,592601.449142456,4134164.5814819336,2.11439436053638,36.5886763410625,0.0,-1.6560102316600158,,,
8027,139,1697026469.794496,592618.8393173218,4134147.859802246,2.32599371395452,592600.9397735596,4134164.7349243164,2.11439436053638,62.02998561814407,0.0,-1.5445875910000697,,,
8028,139,1697026469.9257672,592618.2721557617,4134148.4633483887,2.322878379551735,592600.4158935547,4134164.8926696777,2.11439436053638,43.96904138373342,0.0,-1.461035060543067,,,
8029,139,1697026470.005347,592617.9708557129,4134148.7854003906,2.321334122068879,592599.8578872681,4134165.060760498,2.11439436053638,15.699999999999998,0.0,-1.3962628979566667,,,
8030,139,1697026470.0965257,592617.6681900024,4134149.109893799,2.3198524530250344,592599.2012634277,4134165.2584838867,2.11439436053638,17.04837688190646,0.0,-1.2796814657387576,,,
8031,139,1697026470.2460623,592617.0984420776,4134149.7232055664,2.317263289773374,592598.7844314575,4134165.3840637207,2.11439436053638,15.7,0.0,-1.2378318645559787,,,
8032,139,1697026470.32666,592616.7558135986,4134150.0935668945,2.3157896903385753,592598.1398773193,4134165.578125,2.11439436053638,31.740565574780316,0.0,-1.1458145532408024,,,
8033,139,1697026470.4086897,592616.4477081299,4134150.4276123047,2.3145331950229338,592597.7370681763,4134165.699493408,2.11439436053638,42.571502182033306,0.0,-1.0369549289758535,,,
8034,139,1697026470.508211,592616.2107620239,4134150.6850891113,2.313623982906285,592597.1999969482,4134165.86126709,2.11439436053638,49.1643998145385,0.0,-0.960944925109614,,,
8035,139,1697026470.5812118,592615.886138916,4134151.0385131836,2.3124683256687533,592597.1400756836,4134165.73336792,2.11439436053638,43.49903152799456,0.0,-0.9194324921606857,,,
8036,139,1697026470.7281675,592615.886138916,4134151.0385131836,2.3124683256687533,592597.1316375732,4134165.592895508,2.11439436053638,46.55983447702441,0.0,-0.9011710692971285,,,
8037,139,1697026470.8180604,592615.3394012451,4134151.635620117,2.3106599087556505,592597.1220703125,4134165.4336853027,2.11439436053638,48.942733831462924,0.0,-0.8950998171270094,,,
8038,139,1697026470.90878,592614.9917068481,4134152.0163879395,2.3095603646927563,592597.1128082275,4134165.2794799805,2.11439436053638,23.328031395527418,0.0,-0.8101788176093654,,,
8039,139,1697026470.9664326,592614.6319732666,4134152.4111938477,2.3084762573564017,592597.1033248901,4134165.1215820312,2.11439436053638,18.208202013407664,0.0,-0.701834728868024,,,
