Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,NPC2X,NPC2Y,NPC2Theta,throttle,brake,steering,egoLane,egoLaneOffset,NPC1Lane,NPC1LaneOffset,NPC2Lane,NPC2LaneOffset
3379,53,1697431824.6998885,592613.1052627563,4134153.911224365,2.307820547129712,592604.7355041504,4134158.109863281,2.151534272178708,592610.3435516357,4134166.6743164062,2.3782294666290227,42.99363198344377,0.0,-0.725251551818489,137,0.674392780490186,136,1.8888701950066462,139,0.010906309223817539
3380,53,1697431824.778972,592612.7367401123,4134154.3170776367,2.306891688045379,592604.4819641113,4134158.6661987305,2.1218517441630524,592609.304977417,4134167.668029785,2.378228401364595,40.82180248511818,0.0,-0.6479918225304415,137,0.7132939284759457,137,-1.8440728606226175,139,0.011361244258181451
3381,53,1697431824.868216,592612.4075164795,4134154.680297852,2.3061278116632438,592604.2382202148,4134159.201019287,2.093344202811238,592608.2514343262,4134168.676025391,2.37822706978406,56.74814600529165,0.0,-0.5431989691497663,137,0.7485145665560866,137,-1.6257241986999917,139,0.011797981891170806
3382,53,1697431824.9403458,592611.970779419,4134155.1630249023,2.3052308778353208,592603.9413909912,4134159.6584472656,2.094321316607619,592608.1617889404,4134168.76184082,2.378227336100167,36.53980959349052,0.0,-0.4662242488396213,137,0.7958788409729558,137,-1.5000080366815343,139,0.01186773859643994
3383,53,1697431825.100971,592611.1676864624,4134156.05267334,2.3038710880258826,592603.6037750244,4134160.163513184,2.0982217823099347,592607.9722442627,4134168.9432373047,2.378227602416274,32.86877449246949,0.0,-0.3699648230089042,137,0.8844157138892195,137,-1.368021268032773,139,0.011979955904916371
3384,53,1697431825.1798322,592610.7582931519,4134156.507202149,2.3033234788115413,592603.2706756592,4134160.6618652334,2.102070050055289,592607.6879653931,4134169.2153015137,2.378227868732381,18.83531871352121,0.0,-0.286286996743209,137,0.9302803047623378,137,-1.2377680517065153,139,0.012152831217974659
3385,53,1697431825.260151,592610.3463592529,4134156.96496582,2.302882979043982,592602.9373779297,4134161.160430908,2.105920980961713,592607.3146514893,4134169.5724487305,2.378227868732381,28.428463209778336,0.0,-0.1956138448161847,137,0.9767295675823375,137,-1.1074943718621166,139,0.01228627882805474
3386,53,1697431825.340351,592609.9321289062,4134157.425750733,2.30254327584616,592602.5980072021,4134161.6682128906,2.109842485636477,592606.8584213257,4134170.008972168,2.378252636130327,24.864545723342992,0.0,-0.1152096727397374,137,1.0237751957881565,137,-0.9747562997616125,139,0.012486450243174862
3387,53,1697431825.498499,592609.301399231,4134158.12802124,2.3022104100876524,592602.266708374,4134162.1638793945,2.113670513357704,592606.3255844116,4134170.5188293457,2.3783570320442493,57.61974810097814,0.0,-0.0419471739042659,137,1.0958857103567847,137,-0.8451988430521438,139,0.012747279662876839
3388,53,1697431825.498499,592609.301399231,4134158.12802124,2.3022104100876524,592601.9283447266,4134162.670074463,2.117580566439869,592605.7225646973,4134171.0958251953,2.378359428889212,55.01675813422131,0.0,0.0011055708698816,137,1.0958857103567847,137,-0.7129109683507384,139,0.013029339384182465
3389,53,1697431825.692732,592608.8693389893,4134158.609436035,2.3021354850351123,592601.6041564941,4134163.155090332,2.121326568800157,592605.0557632446,4134171.733886719,2.3783618257341743,55.64992072529183,0.0,0.0031367034740096,137,1.1455331287262263,137,-0.5861453201876287,139,0.013369024209840853
3390,53,1697431825.7723796,592608.4798126221,4134159.0435180655,2.3021471110968603,592601.2771377563,4134163.644348145,2.125105328041599,592604.3314285278,4134172.426879883,2.378364488895244,47.6616487302498,1.45,0.0411281659303836,137,1.1903365400157546,137,-0.4582658719657098,139,0.013648051030917386
3391,53,1697431825.854633,592608.0225524902,4134159.553222656,2.30221741315916,592600.946685791,4134164.138671875,2.1289240346990823,592603.5556411743,4134173.169158936,2.378223341358563,0.0,14.5,0.0056100967500658,137,1.243033022588183,137,-0.3290972221009172,139,0.013990768756804868
3392,53,1697431825.931731,592607.5047531128,4134160.1303100586,2.302273733277561,592600.5776443481,4134164.627319336,2.1332484756436543,592603.4640655518,4134173.256713867,2.378252902446434,0.0,14.5,0.0526461346153659,137,1.3026344808532817,137,-0.23068816336155964,139,0.013984702956346682
3393,53,1697431826.09387,592606.5919647217,4134161.147277832,2.3023931703965257,592600.2013931274,4134165.12008667,2.1376629314323736,592603.2201538086,4134173.490081787,2.3783716794301317,14.147125366311968,1.45,0.1334665221456784,137,1.4074573908499293,137,-0.1342816060402712,139,0.014084788663906743
