id,,Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
3,26,126,3,1697440506.5673635,592508.7747192383,4134544.339126587,-2.299238857193367,592484.2476196289,4134512.756988525,0.8085261133049926,0.0,14.5,5.254451188934082
3,27,127,3,1697440506.7275555,592508.1327209473,4134543.617050171,-2.288103350892104,592484.8103485107,4134513.346343994,0.8085261133049926,0.0,14.5,6.535214204957569
3,28,128,3,1697440506.8262892,592507.8965454102,4134543.347351074,-2.282734606572146,592485.3842010498,4134513.947402954,0.8085261133049926,0.0,14.5,7.322067587528579
3,29,129,3,1697440506.888488,592507.7406005859,4134543.167785645,-2.2788523129058573,592485.9513549805,4134514.5414123535,0.8085261133049926,0.0,22.78744370120362,8.298865176940605
3,30,130,3,1697440507.0198245,592507.4705810547,4134542.853500366,-2.271492579818309,592486.5259094238,4134515.143157959,0.8085261133049926,0.0,25.855948260458938,8.757341247998093
3,31,131,3,1697440507.0541594,592507.1364746094,4134542.457946777,-2.2608422156700136,592487.0995941162,4134515.7440338135,0.8085261133049926,0.0,24.55431013005996,10.125558516864103
3,32,132,3,1697440507.1736245,592506.8511047363,4134542.112991333,-2.251347482920191,592487.6807250977,4134516.352661133,0.8085261133049926,0.0,16.83266924726086,11.018127666457874
3,33,133,3,1697440507.2874577,592506.3027648926,4134541.4295654297,-2.2298421798640486,592488.2698974609,4134516.96975708,0.8085261133049926,0.0,23.26129136053636,12.282074459764363
3,34,134,3,1697440507.4187994,592506.0713195801,4134541.1316223145,-2.219657495408597,592488.7914123535,4134517.515960693,0.8085261133049926,0.0,28.90114747560571,13.66515536045724
3,35,135,3,1697440507.4920614,592505.7848815918,4134540.753723145,-2.2050515602021896,592489.3853759766,4134518.1380462646,0.8085261133049926,0.0,32.667872793352444,14.670542640585095
3,36,136,3,1697440507.5334234,592505.5414428711,4134540.422897339,-2.191918031990894,592489.9650878906,4134518.745239258,0.8085261133049926,0.0,36.505344924234976,17.318380332968612
3,37,137,3,1697440507.6907158,592505.0922851562,4134539.786468506,-2.163955392629491,592490.5762329102,4134519.385314941,0.8085261133049926,0.0,39.554578706821545,18.392611136779017
3,38,138,3,1697440507.7701478,592504.9123840332,4134539.519775391,-2.151317788091818,592491.1565246582,4134519.993087769,0.8085261133049926,0.0,41.79695339020141,20.747746528265274
3,39,139,3,1697440507.927573,592504.6750488281,4134539.155517578,-2.131274608554275,592491.7661132812,4134520.6315307617,0.8085261133049926,0.0,45.05228759311254,21.114072578707816
3,40,140,3,1697440507.927573,592504.6750488281,4134539.155517578,-2.131274608554275,592492.3432159424,4134521.235961914,0.8085261133049926,0.0,44.84829162173087,21.681355453256884
