,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
3336,67,1697441554.8066485,592504.7310180664,4134539.248977661,-2.1220847597448884,592497.7099914551,4134526.856918335,0.8085261133049926,0.0,36.40401378476282,21.6442339153848
3337,67,1697441554.9663703,592504.3183288574,4134538.5626831055,-2.081673574409625,592498.3064575195,4134527.481613159,0.8085261133049926,0.0,38.968823272195294,22.662159613224595
3338,67,1697441554.9663703,592504.3183288574,4134538.5626831055,-2.081673574409625,592498.8941650391,4134528.0971679688,0.8085261133049926,0.0,42.84328256582437,24.41676211770271
3339,67,1697441555.1263742,592503.9691772461,4134537.923309326,-2.041559655651845,592499.4806518555,4134528.711425781,0.8085261133049926,0.0,45.46700861162672,25.868161002316924
3340,67,1697441555.213048,592503.9494934082,4134537.885253906,-2.03907613800419,592500.0447998047,4134529.30229187,0.8085261133049926,0.0,46.74249861115483,27.080717568337064
3341,67,1697441555.286346,592503.7842712402,4134537.555297852,-2.0164694386251654,592500.6579284668,4134529.944442749,0.8085261133049926,0.0,45.13418195568811,28.22367962747589
3342,67,1697441555.3778756,592503.6546630859,4134537.2811584473,-1.9970393302689156,592501.2844848633,4134530.600708008,0.8085261133049926,0.0,45.05153745181263,29.210320041818655
3343,68,1697441562.3405683,592517.3506774902,4134553.454559326,-2.339096474917749,592482.6284332275,4134511.06111145,0.8085255806727787,20.90816329677522,10.15,0.4125625100898887
3344,68,1697441562.4169009,592517.3044128418,4134553.40675354,-2.338989771277429,592483.0623168945,4134511.5155334473,0.8085261133049926,19.90175447831018,2.9,0.4125410917279268
3345,68,1697441562.493951,592517.2430114746,4134553.34324646,-2.3388718691798545,592483.6351623535,4134512.115509033,0.8085261133049926,29.34841402924025,0.0,0.4415076771078589
3346,68,1697441562.6581488,592517.1322937012,4134553.22857666,-2.33869673416621,592484.1612854004,4134512.666564941,0.8085261133049926,29.42356738219932,0.0,0.4239714218777123
3347,68,1697441562.7507863,592517.0587158203,4134553.152374268,-2.33858618785729,592484.6905212402,4134513.220855713,0.8085261133049926,58.24811622370317,0.0,0.42199796491218
3348,68,1697441562.8132248,592516.9812927246,4134553.0722198486,-2.3384587081360024,592485.2647399902,4134513.822280884,0.8085261133049926,62.32902700042198,0.0,0.4498613614951935
3349,68,1697441562.8958716,592516.8872375488,4134552.9747772217,-2.3382940353252657,592485.7794189453,4134514.361328125,0.8085261133049926,60.21109659135293,0.0,0.4171208897111099
3350,68,1697441562.9818673,592516.8086853027,4134552.893371582,-2.338169789203545,592486.3272247314,4134514.935073853,0.8085261133049926,44.13871273495786,0.0,0.4282237770296619
3351,68,1697441563.1355135,592516.6012268066,4134552.678237915,-2.3378469782698232,592486.8867492676,4134515.521102905,0.8085261133049926,31.53868972764718,0.0,0.4318859842533843
3352,68,1697441563.2140756,592516.4736938477,4134552.545928955,-2.337650132133557,592487.4189300537,4134516.078491211,0.8085261133049926,18.136497236298787,0.0,0.4361901583952227
3353,68,1697441563.29293,592516.360534668,4134552.428466797,-2.3374808351212755,592487.968963623,4134516.654571533,0.8085261133049926,21.05898840356533,0.0,0.4915406204216127
3354,68,1697441563.3728895,592516.2295837402,4134552.2925109854,-2.337270338401673,592488.4599914551,4134517.1688690186,0.8085261133049926,50.149189788440864,0.0,0.5445127581972592
3355,68,1697441563.5361793,592515.9326477051,4134551.9839630127,-2.336699798437724,592489.0152435303,4134517.7503814697,0.8085261133049926,34.12496873073001,0.0,0.5760933997402382
3356,68,1697441563.6161356,592515.779083252,4134551.824310303,-2.336385982801904,592489.593963623,4134518.3565216064,0.8085261133049926,37.73360431175171,0.0,0.6190735688355156
3357,68,1697441563.723061,592515.6391601562,4134551.678726196,-2.336081448440225,592490.1460418701,4134518.9347686768,0.8085261133049926,44.09371798299907,0.0,0.6476121986951121
3358,68,1697441563.7760725,592515.4473266602,4134551.478942871,-2.3356358145837834,592490.7130126953,4134519.528579712,0.8085261133049926,36.140597113468246,0.0,0.6613863355785422
3359,68,1697441563.9381704,592515.0851745605,4134551.101364136,-2.33479949720092,592491.2784118652,4134520.120727539,0.8085261133049926,41.56080411841048,0.0,0.6834315494340665
